setting,n,model,metric,index,truth,estimate_mean,estimate_sd,bias,abs_bias,rmse,mae,mcse_mean,n_rep,n_obs,n_missing,source_files
heteroskedastic,500,empirical,category_effect,2,-0.00765,-0.009216829085300573,0.0162521735488532,-0.001566829085300572,0.001566829085300572,0.016246438594164782,0.012628346003116474,0.0016252173548853201,100,100,0,20
heteroskedastic,500,ordered_logit,category_effect,2,-0.00765,-0.005918987433566206,0.0037223582337120144,0.0017310125664337928,0.0017310125664337928,0.0040882509483927834,0.003416784003649646,0.00037223582337120146,100,100,0,20
heteroskedastic,500,ordered_probit,category_effect,2,-0.00765,-0.004237680266086143,0.0030435511482224177,0.003412319733913856,0.003412319733913856,0.004562290819575783,0.0040109356915142905,0.00030435511482224174,100,100,0,20
heteroskedastic,500,model_free_flow,category_effect,2,-0.00765,0.00045136829426850226,0.014233032551592875,0.008101368294268503,0.008101368294268503,0.016315195116759537,0.014045369889862299,0.0014233032551592875,100,100,0,20
heteroskedastic,500,structured_flow,category_effect,2,-0.00765,0.007234796392269193,0.006914042570697442,0.014884796392269188,0.014884796392269188,0.016397655578223137,0.015235001534825274,0.0006914042570697442,100,100,0,20
heteroskedastic,500,model_free_flow,cumulative_ge_effect,2,-0.14665,-0.1451632509781505,0.03533193332986118,0.0014867490218494922,0.0014867490218494922,0.03518625413924403,0.029381444589260876,0.0035331933329861183,100,100,0,20
heteroskedastic,500,model_free_flow,cumulative_ge_effect,3,-0.139,-0.145614619272419,0.037201590067179574,-0.006614619272419005,0.006614619272419005,0.03760148811696508,0.03253047662291561,0.0037201590067179576,100,100,0,20
heteroskedastic,500,model_free_flow,cumulative_ge_effect,4,-0.06203,-0.05579038216425015,0.045152829835465785,0.0062396178357498715,0.0062396178357498715,0.045357723625257376,0.037040801423421275,0.004515282983546578,100,100,0,20
heteroskedastic,500,model_free_flow,cumulative_ge_effect,5,0.2572,0.2566227444808831,0.04633603811050349,-0.0005772555191168862,0.0005772555191168862,0.046107389510083974,0.03712874296035597,0.004633603811050349,100,100,0,20
heteroskedastic,500,model_free_flow,wasserstein_unit,1,0.6048799999999999,0.6076589553197271,0.09143722713140003,0.0027789553197273905,0.0027789553197273905,0.0910213240570224,0.07728068325817096,0.009143722713140002,100,100,0,20
heteroskedastic,500,empirical,category_effect,3,-0.07697,-0.07466234368147219,0.030533859439423633,0.002307656318527805,0.002307656318527805,0.03046832263562036,0.02420177032260968,0.003053385943942363,100,100,0,20
heteroskedastic,500,model_free_flow,category_effect,3,-0.07697,-0.08982423710816886,0.029561178595686563,-0.01285423710816886,0.01285423710816886,0.03209915978338751,0.02585034457167365,0.002956117859568656,100,100,0,20
heteroskedastic,500,structured_flow,category_effect,3,-0.07697,-0.018809875708883636,0.03256924364417379,0.05816012429111636,0.05816012429111636,0.06657888653917339,0.061782479517010734,0.0032569243644173787,100,100,0,20
heteroskedastic,500,ordered_logit,category_effect,3,-0.07697,-0.015599065550877629,0.009282806877696542,0.061370934449122366,0.061370934449122366,0.06206206887988668,0.061370934449122366,0.0009282806877696541,100,100,0,20
heteroskedastic,500,ordered_probit,category_effect,3,-0.07697,-0.010885051237803449,0.0074332316863290155,0.06608494876219656,0.06608494876219656,0.06649752519358719,0.06608494876219656,0.0007433231686329015,100,100,0,20
